layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
positive,5,11,36,5,19,0.5,0.34545454545454546,-0.24999999999999983,0.47349910827737174,0.16666666666666666,0.4130317634015487,0.15151515151515152,2.23224716432048,2.5751227466032107,2007-05-01
positive,4,9,18,3,13,0.5,0.3611111111111111,-0.1999999999999996,0.27889415542663465,0.25,0.4897349259423706,0.1468253968253968,3.8023928362216792,2.1524943820691638,2007-06-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-07-01
negative,2,8,12,1,9,1.0,0.32142857142857145,-1.0,0.8270401792746431,0.0,0.3827567876220155,0.26785714285714285,1.2091310979317251,2.7258110166652556,2002-11-01
negative,5,11,23,4,19,0.4,0.34545454545454546,-0.6,0.19525358123993736,0.26666666666666666,0.41020592454990223,0.15353535353535355,5.8487881587126305,2.5245451339407943,2002-12-01
negative,4,12,24,3,22,0.5,0.3333333333333333,-0.5000000000000001,0.5250959403571418,0.3333333333333333,0.4327541557143692,0.1318181818181818,2.0002658596007854,2.4873935116894947,2003-01-01
negative,2,12,19,1,21,1.0,0.3181818181818182,-1.0,0.9638910671530362,0.0,0.36227913766102166,0.17575757575757575,1.0374616324162187,2.8878905353721445,2003-02-01
negative,4,12,33,3,24,0.5,0.36363636363636365,-0.5000000000000001,0.580835794056805,0.3333333333333333,0.45674415423513803,0.12575757575757576,1.7970991442575421,2.320757788573899,2003-03-01
negative,5,12,27,5,23,0.5,0.3484848484848485,-0.4285714285714284,0.3992738421138473,0.2333333333333333,0.38888720056664566,0.1590909090909091,2.7467490936678383,2.6920877895007296,2003-04-01
negative,5,12,33,5,23,0.5,0.3484848484848485,-0.24999999999999983,0.44656505208877695,0.2333333333333333,0.36571679926825484,0.10303030303030303,2.371669676961384,3.0540649982106665,2003-05-01
negative,4,12,23,3,23,0.5,0.3484848484848485,-0.5000000000000001,0.0709308887392127,0.3333333333333333,0.43943432074528493,0.1318181818181818,15.787795504085809,2.4333877677950753,2003-06-01
negative,4,11,24,3,20,0.5,0.36363636363636365,-1.0,0.5810489790845523,0.25,0.46212233987730317,0.14343434343434344,1.8085970545101906,2.3122772487779155,2003-07-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-08-01
negative,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-09-01
negative,2,11,18,1,19,1.0,0.34545454545454546,-1.0,0.7515717741701036,0.0,0.40365296299729764,0.1575757575757576,1.330544911833889,2.547483190221199,2003-10-01
negative,4,12,24,3,24,0.5,0.36363636363636365,-0.1999999999999996,0.10074974485520535,0.25,0.4435101371205909,0.11666666666666665,11.846299336788839,2.3261076540591494,2003-11-01
negative,5,11,35,5,20,0.5,0.36363636363636365,-0.6666666666666671,0.6041153061397487,0.16666666666666666,0.45232303870129476,0.13737373737373737,1.7263071578516764,2.3204158985413863,2003-12-01
negative,2,10,17,1,16,1.0,0.35555555555555557,-1.0,0.7809433831507044,0.0,0.42144258062176976,0.17777777777777776,1.2805025582847183,2.5188068751877988,2004-01-01
negative,4,11,30,3,20,0.5,0.36363636363636365,-0.1999999999999996,0.4979647728136589,0.3333333333333333,0.5105388290882258,0.11111111111111112,2.0968191880669256,2.047746575409965,2004-02-01
negative,3,7,12,2,7,0.6666666666666666,0.3333333333333333,-1.0,0.7150661484804465,0.3333333333333333,0.39568268756955677,0.2857142857142857,1.450284697464334,2.6348491462257266,2004-03-01
negative,4,12,26,3,23,0.5,0.3484848484848485,-1.0,0.2143364363964542,0.25,0.4790045503160834,0.09999999999999999,5.314863828787296,2.1745434520414157,2004-04-01
negative,4,11,21,3,20,0.5,0.36363636363636365,-0.1999999999999996,0.3073914975678774,0.3333333333333333,0.4663229316535958,0.13333333333333333,3.2886707584367287,2.2408463482769885,2004-05-01
negative,4,12,27,3,24,0.5,0.36363636363636365,-0.1999999999999996,0.4716388109216212,0.3333333333333333,0.3743778327934237,0.16969696969696968,2.202828519277529,2.7396495147515894,2004-06-01
negative,4,11,34,3,20,0.5,0.36363636363636365,-0.5000000000000001,0.4132179954296765,0.3333333333333333,0.4824310933863329,0.1212121212121212,2.5521555203039767,2.201165690217218,2004-07-01
