party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,date
Cumhuriyet Halk Partisi,1901.6000000000001,0.5163988851917336,0.0,0.5341947768705585,opposition,total,2005-03-01
Adalet ve Kalkınma Partisi,1643.0,0.5917393956808298,0.5,0.598938136384501,government,total,2005-03-01
Anavatan Partisi,139.35,0.3835262016651509,0.0,0.24393427283187596,opposition,total,2005-03-01
Doğru Yol Partisi,83.7,0.5834611255801854,0.5,0.5319226520868663,opposition,total,2005-03-01
Bağımsız,6.7,0.29181091732644016,0.0,0.11603194337480252,opposition,total,2005-03-01
Cumhuriyet Halk Partisi,1886.0,0.5312720681893559,0.0,0.5135885501035578,opposition,total,2005-04-01
Adalet ve Kalkınma Partisi,1550.1499999999999,0.7327873949058411,0.6666666666666666,0.5994572105850522,government,total,2005-04-01
Doğru Yol Partisi,153.65,0.5329343311438415,0.0,0.5150101513625739,opposition,total,2005-04-01
Anavatan Partisi,58.30000000000001,0.6055054766789344,0.5,0.3063987404167252,opposition,total,2005-04-01
Bağımsız,25.5,0.4046223505154044,0.0,0.13327494042263463,opposition,total,2005-04-01
Cumhuriyet Halk Partisi,2214.6499999999996,0.5867414891475703,0.0,0.5076869473031101,opposition,total,2005-05-01
Adalet ve Kalkınma Partisi,1106.7999999999997,0.8242958788394465,0.8333333333333333,0.6307097346668007,government,total,2005-05-01
Doğru Yol Partisi,79.00000000000001,0.4674753288056376,0.0,0.2575871703142428,opposition,total,2005-05-01
Anavatan Partisi,64.15,0.4572175015417255,0.0,0.2448947285714025,opposition,total,2005-05-01
Bağımsız,44.349999999999994,0.5300168469378485,0.0,0.46704883657067736,opposition,total,2005-05-01
Cumhuriyet Halk Partisi,4486.5,0.4123958138217189,0.0,0.5368041050456701,opposition,total,2005-06-01
Adalet ve Kalkınma Partisi,1352.65,0.5459269763190586,0.6666666666666666,0.6052605050029433,government,total,2005-06-01
Doğru Yol Partisi,189.54999999999998,0.4122659148962204,0.0,0.5366008819327716,opposition,total,2005-06-01
Bağımsız,119.10000000000001,0.42836471144522675,0.5,0.21606636600537,opposition,total,2005-06-01
Anavatan Partisi,4.35,0.3134757378490532,0.0,0.10428754901667021,opposition,total,2005-06-01
Adalet ve Kalkınma Partisi,407.0,0.6863909865502268,1.0,0.7071067811852133,government,total,2005-07-01
Cumhuriyet Halk Partisi,89.3,0.43136659381595455,0.0,0.40216516465031177,opposition,total,2005-07-01
Doğru Yol Partisi,13.4,0.4872171414666082,0.0,0.5816039720838179,opposition,total,2005-07-01
Adalet ve Kalkınma Partisi,289.75,0.9894744837991745,1.0,0.7071067930768102,government,total,2005-09-01
Cumhuriyet Halk Partisi,159.45,0.6591020705009056,0.0,0.49875279020540486,opposition,total,2005-09-01
Doğru Yol Partisi,37.800000000000004,0.6601981518613173,0.0,0.5012440896878012,opposition,total,2005-09-01
Adalet ve Kalkınma Partisi,1069.55,0.7000860878957856,0.6666666666666666,0.6053783881840299,government,total,2005-10-01
Cumhuriyet Halk Partisi,985.4,0.5883669151896073,0.5,0.3547825915892273,opposition,total,2005-10-01
Doğru Yol Partisi,184.1,0.3843570708754599,0.0,0.15276482888333623,opposition,total,2005-10-01
Anavatan Partisi,97.05,0.4921175770938003,0.0,0.48649420863991155,opposition,total,2005-10-01
Bağımsız,32.6,0.505306978368827,0.0,0.49762698062003113,opposition,total,2005-10-01
Adalet ve Kalkınma Partisi,917.9,0.662893280255638,0.5,0.5598426797064889,government,total,2005-11-01
Cumhuriyet Halk Partisi,816.55,0.6824333638257087,0.5,0.5793366208724112,opposition,total,2005-11-01
Anavatan Partisi,141.75,0.41956753170061173,0.0,0.24718727609855567,opposition,total,2005-11-01
Bağımsız,80.10000000000001,0.5397382785662354,0.0,0.4806213438769892,opposition,total,2005-11-01
Doğru Yol Partisi,60.0,0.41449903807642957,0.0,0.24258365163392004,opposition,total,2005-11-01
Adalet ve Kalkınma Partisi,5924.099999999999,0.5404286452953501,0.0,0.5067523749840911,government,total,2005-12-01
Cumhuriyet Halk Partisi,3633.2999999999997,0.5259554301111566,0.0,0.49441472017939614,opposition,total,2005-12-01
Anavatan Partisi,1204.1999999999998,0.7438873437698601,0.6666666666666666,0.607461677023466,opposition,total,2005-12-01
Bağımsız,366.00000000000006,0.4038725768961546,0.0,0.1379559121458227,opposition,total,2005-12-01
Doğru Yol Partisi,184.14999999999998,0.6216645650968102,0.5,0.33273802333031455,opposition,total,2005-12-01
Cumhuriyet Halk Partisi,722.35,0.6348806080302314,0.0,0.49049916308091074,opposition,total,2006-01-01
Adalet ve Kalkınma Partisi,687.65,0.7563735754742201,0.5,0.5607478944578409,government,total,2006-01-01
Anavatan Partisi,398.24999999999994,0.758642098828085,0.5,0.567119924405255,opposition,total,2006-01-01
Bağımsız,74.44999999999999,0.4735911628300474,0.0,0.24425775036613698,opposition,total,2006-01-01
Doğru Yol Partisi,32.85,0.47826170619156155,0.0,0.25235988707929796,opposition,total,2006-01-01
Cumhuriyet Halk Partisi,1426.75,0.8892476638554803,0.8333333333333333,0.637828995142049,opposition,total,2006-02-01
Adalet ve Kalkınma Partisi,1289.9000000000003,0.6045230039357486,0.0,0.48778974227179733,government,total,2006-02-01
Anavatan Partisi,735.6999999999999,0.5822136511546271,0.0,0.471701744953485,opposition,total,2006-02-01
Doğru Yol Partisi,134.25,0.50157624996083,0.0,0.2625329023214782,opposition,total,2006-02-01
Bağımsız,125.5,0.4931270408838517,0.0,0.2526049866827575,opposition,total,2006-02-01
Adalet ve Kalkınma Partisi,1111.2500000000002,0.6975891686496416,0.5,0.5457321386770771,government,total,2006-03-01
Cumhuriyet Halk Partisi,1102.1,0.5950293471589848,0.0,0.5142725974981566,opposition,total,2006-03-01
Anavatan Partisi,191.65,0.698490297072466,0.5,0.5873695753297811,opposition,total,2006-03-01
Doğru Yol Partisi,152.3,0.3883508767142531,0.0,0.16760724614918066,opposition,total,2006-03-01
Bağımsız,107.45,0.4460708605607569,0.0,0.2541749816418663,opposition,total,2006-03-01
Adalet ve Kalkınma Partisi,1718.4999999999998,0.7097109717101289,0.5,0.5703755220812121,government,total,2006-04-01
Cumhuriyet Halk Partisi,1260.3999999999999,0.4315561696458395,0.0,0.23430733301728096,opposition,total,2006-04-01
Anavatan Partisi,375.95,0.6943211082082026,0.5,0.5661488287522682,opposition,total,2006-04-01
Doğru Yol Partisi,147.24999999999997,0.5714063913661085,0.0,0.4854637761461248,opposition,total,2006-04-01
Bağımsız,13.75,0.43898905726960913,0.0,0.2521354065919615,opposition,total,2006-04-01
Cumhuriyet Halk Partisi,1529.9,0.911790325963678,0.8333333333333333,0.6337609988921388,opposition,total,2006-05-01
Adalet ve Kalkınma Partisi,1494.95,0.5274206028218834,0.0,0.2752473521917405,government,total,2006-05-01
Anavatan Partisi,350.79999999999995,0.6176461568130488,0.0,0.48467473113058324,opposition,total,2006-05-01
Doğru Yol Partisi,179.65000000000003,0.6062753309741341,0.0,0.4772736478599423,opposition,total,2006-05-01
Bağımsız,65.5,0.5010678171901446,0.0,0.2447164919996915,opposition,total,2006-05-01
Adalet ve Kalkınma Partisi,2905.7999999999993,0.7602354367423227,0.6666666666666666,0.5578429225588225,government,total,2006-06-01
Cumhuriyet Halk Partisi,2508.65,0.47258554212482096,0.0,0.25840858226620855,opposition,total,2006-06-01
Anavatan Partisi,1176.25,0.6350992993312908,0.3333333333333333,0.46964129261156035,opposition,total,2006-06-01
Bağımsız,537.9499999999999,0.6287104348560526,0.0,0.4611529681024379,opposition,total,2006-06-01
Doğru Yol Partisi,446.9000000000001,0.5426834359271135,0.0,0.4345241933962416,opposition,total,2006-06-01
Adalet ve Kalkınma Partisi,670.65,0.6872378196366925,0.5,0.5828979297395828,government,total,2006-09-01
Cumhuriyet Halk Partisi,603.65,0.6895704107692059,0.5,0.5672928188076093,opposition,total,2006-09-01
Anavatan Partisi,218.25,0.4210452830209878,0.0,0.2334891040458806,opposition,total,2006-09-01
Bağımsız,151.20000000000002,0.39593335893322484,0.0,0.19437204461832464,opposition,total,2006-09-01
Doğru Yol Partisi,108.95,0.5542502883430567,0.0,0.4960959663183822,opposition,total,2006-09-01
Cumhuriyet Halk Partisi,412.95000000000005,0.5902022198568637,0.5,0.5721477919263654,opposition,total,2006-10-01
Adalet ve Kalkınma Partisi,380.24999999999994,0.5993203358198038,0.5,0.5791607157232215,government,total,2006-10-01
Anavatan Partisi,175.05,0.49955921465767206,0.0,0.5281877640823267,opposition,total,2006-10-01
Bağımsız,93.55,0.32676244572092616,0.0,0.16102343123216828,opposition,total,2006-10-01
Doğru Yol Partisi,10.0,0.34175882268277097,0.0,0.17974679419862186,opposition,total,2006-10-01
Cumhuriyet Halk Partisi,1040.45,0.408663116397614,0.0,0.5661202634425175,opposition,total,2006-11-01
Adalet ve Kalkınma Partisi,849.6999999999999,0.45355910422411916,0.5,0.5731137635154628,government,total,2006-11-01
Anavatan Partisi,213.95,0.45427544308846113,0.5,0.574923991883836,opposition,total,2006-11-01
Bağımsız,29.300000000000004,0.23205182392555382,0.0,0.10276633086734033,opposition,total,2006-11-01
Doğru Yol Partisi,27.45,0.22849795499461453,0.0,0.09974941696739875,opposition,total,2006-11-01
Adalet ve Kalkınma Partisi,2933.35,0.7629194959715765,0.6666666666666666,0.604465483649479,government,total,2006-12-01
Cumhuriyet Halk Partisi,2359.05,0.5434005445723525,0.0,0.4948739227009868,opposition,total,2006-12-01
Anavatan Partisi,588.6999999999999,0.5443098003165341,0.0,0.4956116708949736,opposition,total,2006-12-01
Bağımsız,291.95,0.4247505684810664,0.0,0.15763161555005586,opposition,total,2006-12-01
Doğru Yol Partisi,62.550000000000004,0.6355331986257433,0.5,0.34531525474370656,opposition,total,2006-12-01
Adalet ve Kalkınma Partisi,624.85,0.6724661813378426,0.5,0.5719109684416668,government,total,2007-01-01
Cumhuriyet Halk Partisi,505.70000000000005,0.6623543435347512,0.5,0.5513510806558656,opposition,total,2007-01-01
Bağımsız,103.89999999999999,0.5595210709819314,0.0,0.4812070435027423,opposition,total,2007-01-01
Anavatan Partisi,80.45,0.43216094080604817,0.0,0.27171015363341167,opposition,total,2007-01-01
Doğru Yol Partisi,33.949999999999996,0.42211555612965546,0.0,0.252077773180385,opposition,total,2007-01-01
Adalet ve Kalkınma Partisi,942.85,0.7307835334320764,0.6666666666666666,0.5999143401664867,government,total,2007-02-01
