speech_id,transcript_id,date,year,month,month_date,speaker,source_party,source_party_short,source_bloc,target_party,target_party_short,target_bloc,mention_count,beme_positive_hits,beme_negative_hits,relation_weight,beme_score,beme_label,topic_category,topic_label,positive_weight,negative_weight,net_weight
term_22_directed_038937,16345,2006-03-16,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,4,0,0,4.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038938,16345,2006-03-16,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038940,16345,2006-03-16,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038941,16345,2006-03-16,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038943,16345,2006-03-16,2006,3,2006-03-01,İbrahim Özdoğan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038966,16345,2006-03-16,2006,3,2006-03-01,Haluk Koç,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_038968,16345,2006-03-16,2006,3,2006-03-01,Mustafa Gazalcı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_038969,16345,2006-03-16,2006,3,2006-03-01,Mustafa Gazalcı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038974,16345,2006-03-16,2006,3,2006-03-01,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,AK Party,government,Anavatan Partisi,ANAP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038976,16345,2006-03-16,2006,3,2006-03-01,Mustafa Gazalcı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,0,3.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038978,16345,2006-03-16,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,1,0,1.35,0.5,positive,general,General,0.675,0.0,0.675
term_22_directed_038979,16345,2006-03-16,2006,3,2006-03-01,İzzet Çetin,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,0,2,3.7,-0.6667,negative,general,General,0.0,2.46679,-2.46679
