word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
nereye,1905,1579,0.008742,7,15,False,content_or_borderline,keep_for_now
ihracat,1903,1052,0.005824,6,14,False,content_or_borderline,keep_for_now
sektör,1897,1264,0.006998,6,14,False,content_or_borderline,keep_for_now
gördük,1892,1449,0.008022,7,13,False,content_or_borderline,keep_for_now
ilçe,1892,1236,0.006843,7,15,False,content_or_borderline,keep_for_now
kar,1891,1187,0.006571,6,16,False,content_or_borderline,keep_for_now
meclisinin,1891,1482,0.008205,7,14,False,content_or_borderline,keep_for_now
maddeyle,1888,1524,0.008437,6,12,False,content_or_borderline,keep_for_now
başarili,1888,1524,0.008437,7,14,False,content_or_borderline,keep_for_now
itiraz,1888,1491,0.008254,7,16,False,content_or_borderline,keep_for_now
saygilarimla,1888,1713,0.009484,7,14,False,content_or_borderline,keep_for_now
ikincisi,1888,1736,0.009611,7,16,False,content_or_borderline,keep_for_now
özür,1884,1465,0.008111,7,13,False,content_or_borderline,keep_for_now
etmesi,1883,1708,0.009456,7,14,False,content_or_borderline,keep_for_now
hizmeti,1881,1337,0.007402,6,13,False,content_or_borderline,keep_for_now
büyüme,1881,899,0.004977,7,15,False,content_or_borderline,keep_for_now
hakli,1878,1585,0.008775,7,15,False,content_or_borderline,keep_for_now
nükleer,1875,520,0.002879,6,11,False,content_or_borderline,keep_for_now
sorumlu,1874,1494,0.008271,7,12,False,content_or_borderline,keep_for_now
kesinlikle,1874,1541,0.008531,7,12,False,content_or_borderline,keep_for_now
sağlanmasi,1871,1493,0.008266,6,15,False,content_or_borderline,keep_for_now
anlayişi,1869,1526,0.008448,7,15,False,content_or_borderline,keep_for_now
komisyonunda,1868,1433,0.007933,7,14,False,content_or_borderline,keep_for_now
ilave,1868,1468,0.008127,7,11,False,content_or_borderline,keep_for_now
sayida,1862,1563,0.008653,7,13,False,content_or_borderline,keep_for_now
toprak,1861,1265,0.007003,6,14,False,content_or_borderline,keep_for_now
trt,1860,594,0.003289,7,11,False,content_or_borderline,keep_for_now
sikinti,1858,1534,0.008493,7,13,False,content_or_borderline,keep_for_now
kan,1857,1022,0.005658,7,13,False,content_or_borderline,keep_for_now
vatan,1857,1316,0.007286,7,15,False,content_or_borderline,keep_for_now
bakimdan,1855,1374,0.007607,7,10,False,content_or_borderline,keep_for_now
paylaşmak,1854,1580,0.008747,6,14,False,content_or_borderline,keep_for_now
ulaştirma,1853,1133,0.006273,6,10,False,content_or_borderline,keep_for_now
isteyen,1850,1549,0.008576,7,16,False,content_or_borderline,keep_for_now
birakin,1850,1590,0.008803,7,14,False,content_or_borderline,keep_for_now
arkadaşlarimizin,1849,1498,0.008293,7,15,False,content_or_borderline,keep_for_now
meselesi,1849,1460,0.008083,7,16,False,content_or_borderline,keep_for_now
ülkeye,1848,1564,0.008659,7,14,False,content_or_borderline,keep_for_now
azindan,1844,1564,0.008659,7,17,False,content_or_borderline,keep_for_now
sağliği,1844,1089,0.006029,6,13,False,content_or_borderline,keep_for_now
sonraki,1842,1664,0.009212,7,13,False,content_or_borderline,keep_for_now
bölgesi,1841,1212,0.00671,7,13,False,content_or_borderline,keep_for_now
kontrol,1840,1383,0.007657,7,12,False,content_or_borderline,keep_for_now
hakaret,1839,1478,0.008183,7,15,False,content_or_borderline,keep_for_now
dokuz,1839,1344,0.007441,6,12,False,content_or_borderline,keep_for_now
ortalama,1838,1356,0.007507,7,14,False,content_or_borderline,keep_for_now
