word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
meclisi,7649,5902,0.032675,7,17,False,high_frequency_generic,review_first,2
yeniden,7646,5179,0.028672,7,17,False,high_frequency_generic,review_first,2
bakanliği,7593,4574,0.025323,7,17,False,high_frequency_generic,review_first,2
hale,7564,5531,0.030621,7,17,False,high_frequency_generic,review_first,2
yol,7492,5160,0.028567,7,17,False,high_frequency_generic,review_first,2
an,7438,5470,0.030283,7,17,False,high_frequency_generic,review_first,2
kez,7436,5479,0.030333,7,17,False,high_frequency_generic,review_first,2
terör,7407,3687,0.020412,7,17,False,high_frequency_generic,review_first,2
yargi,7391,3553,0.01967,7,16,False,high_frequency_generic,review_first,2
iç,7305,4670,0.025854,7,17,False,high_frequency_generic,review_first,2
beraber,7260,5150,0.028511,7,15,False,high_frequency_generic,review_first,2
düzenleme,7255,4207,0.023291,7,17,False,high_frequency_generic,review_first,2
ülkede,7215,4951,0.02741,7,17,False,high_frequency_generic,review_first,2
mücadele,7196,4497,0.024896,7,17,False,high_frequency_generic,review_first,2
konu,7164,5331,0.029514,7,17,False,high_frequency_generic,review_first,2
devletin,7138,4835,0.026768,7,17,False,high_frequency_generic,review_first,2
görev,7137,4519,0.025018,7,17,False,high_frequency_generic,review_first,2
sen,7125,5699,0.031551,7,15,False,high_frequency_generic,review_first,2
belediye,7114,3471,0.019216,7,15,False,high_frequency_generic,review_first,2
farkli,7098,4860,0.026906,7,16,False,high_frequency_generic,review_first,2
enerji,7077,2651,0.014676,7,15,False,high_frequency_generic,review_first,2
nedeniyle,7073,5010,0.027736,7,17,False,high_frequency_generic,review_first,2
gerek,6981,4589,0.025406,7,16,False,high_frequency_generic,review_first,2
yapan,6980,5391,0.029846,7,16,False,high_frequency_generic,review_first,2
sayisi,6950,4658,0.025788,7,16,False,high_frequency_generic,review_first,2
başkani,6875,4954,0.027426,7,17,False,high_frequency_generic,review_first,2
ediyoruz,6856,5469,0.030278,7,17,False,high_frequency_generic,review_first,2
hareket,6808,4499,0.024907,7,17,False,high_frequency_generic,review_first,2
dişinda,6796,4988,0.027615,7,17,False,high_frequency_generic,review_first,2
birliği,6769,3875,0.021453,7,17,False,high_frequency_generic,review_first,2
dolayi,6748,5193,0.02875,7,16,False,high_frequency_generic,review_first,2
olmayan,6744,5286,0.029264,7,17,False,high_frequency_generic,review_first,2
edilen,6720,5072,0.02808,7,17,False,high_frequency_generic,review_first,2
destek,6704,4578,0.025345,7,17,False,high_frequency_generic,review_first,2
kim,6659,4763,0.026369,7,16,False,high_frequency_generic,review_first,2
ceza,6580,2919,0.01616,7,16,False,high_frequency_generic,review_first,2
bugüne,6574,5054,0.02798,7,15,False,high_frequency_generic,review_first,2
yillik,6564,4599,0.025461,7,17,False,high_frequency_generic,review_first,2
insanlar,6399,4538,0.025123,7,16,False,high_frequency_generic,review_first,2
yaklaşik,6389,4267,0.023623,7,16,False,high_frequency_generic,review_first,2
ülkemizde,6388,4210,0.023307,7,14,False,high_frequency_generic,review_first,2
zamanda,6378,4843,0.026812,7,16,False,high_frequency_generic,review_first,2
cumhuriyeti,6369,4288,0.023739,7,16,False,high_frequency_generic,review_first,2
diş,6361,2998,0.016598,7,17,False,high_frequency_generic,review_first,2
hala,6344,4684,0.025932,7,17,False,high_frequency_generic,review_first,2
dedi,6340,4589,0.025406,7,17,False,high_frequency_generic,review_first,2
hakki,6323,4535,0.025107,7,17,False,high_frequency_generic,review_first,2
merkezi,6307,2918,0.016155,7,17,False,high_frequency_generic,review_first,2
dört,6304,4701,0.026026,7,16,False,high_frequency_generic,review_first,2
dolar,6299,3073,0.017013,7,17,False,high_frequency_generic,review_first,2
söylüyorum,6290,5074,0.028091,7,17,False,high_frequency_generic,review_first,2
grubu,6282,5213,0.02886,7,16,False,high_frequency_generic,review_first,2
geri,6252,4626,0.025611,7,17,False,high_frequency_generic,review_first,2
seçim,6238,3721,0.0206,7,17,False,high_frequency_generic,review_first,2
haklari,6229,3443,0.019061,7,17,False,high_frequency_generic,review_first,2
dönemde,6225,4499,0.024907,7,17,False,high_frequency_generic,review_first,2
yönetim,6206,2985,0.016526,7,16,False,high_frequency_generic,review_first,2
yapmak,6154,5001,0.027687,7,16,False,high_frequency_generic,review_first,2
demokratik,6107,3695,0.020456,7,17,False,high_frequency_generic,review_first,2
herhangi,6086,4485,0.02483,7,16,False,high_frequency_generic,review_first,2
te,6008,4117,0.022793,7,15,False,high_frequency_generic,review_first,2
başbakan,6006,4020,0.022256,7,14,False,high_frequency_generic,review_first,2
haline,5999,4498,0.024902,7,17,False,high_frequency_generic,review_first,2
vardi,5971,4216,0.023341,7,17,False,high_frequency_generic,review_first,2
