speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Rıdvan Yalçın,Milliyetçi Hareket Partisi,1,Pole +,619.0,3.0462176352822716,0.0,0.0,1.445031876158458,3.0462176352822716,1.445031876158458,0.0,0.32174384258895655,1.5218076930826,0.0
Abdülkadir Akcan,Milliyetçi Hareket Partisi,0,Neutral,207.0,0.0,0.0,0.2563945265293664,0.2575499766299273,0.2563945265293664,0.2575499766299273,0.0,0.49887589896262147,1.5078089079914256,1.3111381808621094
Kadir Ural,Milliyetçi Hareket Partisi,0,Neutral,95.0,0.2930659046743262,0.8604600855700215,1.6650964852075827,0.0,1.958162389881909,0.8604600855700215,0.25406094608946433,0.3052768126127926,1.4987864390258288,0.0
Beşir Atalay,Adalet ve Kalkınma Partisi,0,Neutral,590.0,1.9087631453165188,0.0,3.1944429422632963,1.7266336298656602,5.1032060875798155,1.7266336298656602,0.0,0.25280734263829185,1.4960933991018799,1.691344334823837
Deniz Baykal,Cumhuriyet Halk Partisi,0,Neutral,519.0,0.3123561548095927,0.7459757375595948,0.23360863636155488,0.26103951147437,0.5459647911711476,1.0070152490339648,0.2951400754022544,0.3515594384249001,1.489611718038774,1.2244743724929836
Abdullah Çalışkan,Adalet ve Kalkınma Partisi,0,Neutral,59.0,0.35082216170471053,0.0,0.4600782888859853,0.47314932711883695,0.8109004505906958,0.47314932711883695,0.0,0.36848207519988124,1.482958510406317,1.5735170884627339
Atila Emek,Cumhuriyet Halk Partisi,0,Neutral,310.0,0.0,0.8159275021183792,0.4733110722337715,0.0,0.4733110722337715,0.8159275021183792,0.0,0.3671245037827761,1.479146247724341,0.0
Ahmet İyimaya,Adalet ve Kalkınma Partisi,1,Pole +,264.0,0.8895920837921375,0.0,0.0,1.61475413863434,0.8895920837921375,1.61475413863434,0.0,0.35521928855946544,1.4751367424242738,0.0
Agah Kafkas,Adalet ve Kalkınma Partisi,0,Neutral,161.0,0.2806097554697669,0.22967134830399583,0.29807643347397467,0.9032760285605502,0.5786861889437416,1.132947376864546,0.4500878949962737,0.33808999786258437,1.4694535201167938,0.8523024036463163
Cahit Bağcı,Adalet ve Kalkınma Partisi,-1,Pole -,62.0,0.0,4.176513016904802,1.731885206789309,0.0,1.731885206789309,4.176513016904802,0.0,0.293122626628467,1.466198734135931,0.0
Deniz Bölükbaşı,Milliyetçi Hareket Partisi,1,Pole +,282.0,7.994856905557604,0.0,0.0,2.8323525797786897,7.994856905557604,2.8323525797786897,0.0,0.26159580484270284,1.4661465907053222,0.0
Hakkı Köylü,Adalet ve Kalkınma Partisi,0,Neutral,173.0,0.0,0.45128981789537304,1.5293753588951424,0.25011042942657347,1.5293753588951424,0.7014002473219465,0.0,0.3144199017833753,1.4604322953950808,0.5365476927912561
Canan Kalsın,Adalet ve Kalkınma Partisi,0,Neutral,81.0,1.5239784250617798,0.0,0.9618270157678765,0.9765333283173789,2.4858054408296564,0.9765333283173789,0.0,0.2820444194361456,1.4505975479319362,1.9357731446935347
Ahmet Tan,Bağımsız,0,Neutral,53.0,1.4355967284940565,0.8516816612500141,1.9736851794020014,0.36692587852379877,3.409281907896058,1.2186075397738128,0.37235592514514815,0.26331820439748405,1.4412775330194798,0.6405782957530662
Hamit Homriş,Bağımsız,-1,Pole -,76.0,0.0,3.157760538274629,1.3647020618055987,0.0,1.3647020618055987,3.157760538274629,0.0,0.301760828598036,1.4293620882920888,0.0
Ahmet Kenan Tanrıkulu,Milliyetçi Hareket Partisi,0,Neutral,217.0,0.0,0.6064955292144987,1.286613658635653,0.0,1.286613658635653,0.6064955292144987,0.0,0.32037007309804233,1.4287564449143213,0.0
Sedat Kızılcıklı,Bağımsız,0,Neutral,93.0,0.7378348643493614,0.6190209289406463,0.5932622591876661,0.0,1.3310971235370275,0.6190209289406463,0.4562171835398005,0.3174274130926265,1.4262427127084725,0.0
Bengi Yıldız,Bağımsız,0,Neutral,644.0,0.7698943528298253,1.1397407048732466,2.4682564081105847,0.0,3.23815076094041,1.1397407048732466,0.40316308046454635,0.26034010059705287,1.4084969893496846,0.0
Ertuğrul Kumcuoğlu,Milliyetçi Hareket Partisi,-1,Pole -,241.0,0.0,2.238921470280265,1.044162683930474,0.0,1.044162683930474,2.238921470280265,0.0,0.31804322842996086,1.4056776457840752,0.0
Bülent Baratalı,Bağımsız,0,Neutral,269.0,0.0,0.6631745916207088,1.5625864391824391,0.0,1.5625864391824391,0.6631745916207088,0.0,0.29795408498254344,1.3831935900456809,0.0
Orhan Ziya Diren,Cumhuriyet Halk Partisi,-1,Pole -,170.0,0.3122068570120994,2.7118661651126814,0.857751327549496,0.0,1.1699581845615954,2.7118661651126814,0.10324051523382044,0.301393901132691,1.3820214696458815,0.0
Ertuğrul Günay,Adalet ve Kalkınma Partisi,0,Neutral,300.0,2.2903908553727073,0.0,0.5754688080140317,1.0126256867344998,2.865859663386739,1.0126256867344998,0.0,0.26108792352193827,1.3765255476560243,1.3430259153527497
Veysi Kaynak,Bağımsız,1,Pole +,319.0,1.6170007356638847,0.0,0.27177826684576706,0.894227624391468,1.8887790025096518,0.894227624391468,0.0,0.3213171019523852,1.3677435422414779,0.7939311188360938
Egemen Bağış,Adalet ve Kalkınma Partisi,0,Neutral,399.0,3.6030252601307646,0.0,1.1411045443087058,1.459282286217619,4.744129804439471,1.459282286217619,0.0,0.23523865006166428,1.3662573915560126,1.8385730912411236
Mehmet Sevigen,Cumhuriyet Halk Partisi,0,Neutral,47.0,1.124237650675993,0.30453358607671505,1.258287608780821,0.5610322392975515,2.382525259456814,0.8655658253742666,0.21314369860616114,0.26648446810807236,1.3512256057164174,1.1838772263150197
Ahmet Bukan,Milliyetçi Hareket Partisi,0,Neutral,56.0,2.322236563178919,0.2667299266905091,0.0,0.5384374399776399,2.322236563178919,0.805167366668149,0.10302563885287512,0.2574555076580935,1.294372071547361,0.0
Mehmet Mustafa Açıkalın,Adalet ve Kalkınma Partisi,0,Neutral,157.0,0.349209506798372,0.6994987368346092,0.0,0.0,0.349209506798372,0.6994987368346092,0.33299014152461975,0.33299014152461975,1.2651786868945434,0.0
Nur Serter,Cumhuriyet Halk Partisi,-1,Pole -,86.0,0.0,0.6234402504511236,1.321255143244425,0.0,1.321255143244425,0.6234402504511236,0.0,0.3205850397710877,1.25167340234052,0.0
Ali Babacan,Adalet ve Kalkınma Partisi,0,Neutral,236.0,0.3203683262769182,0.0,0.272082422206182,0.3093494589702066,0.5924507484831002,0.3093494589702066,0.0,0.3430354706845513,1.2461623666867,1.2836620444449838
Fatma Şahin,Adalet ve Kalkınma Partisi,0,Neutral,49.0,1.760636150756537,0.0,1.7502779465602227,1.0129142011106496,3.5109140973167596,1.0129142011106496,0.0,0.22390642041804645,1.219751111353349,1.5578052666191227
Enis Tütüncü,Cumhuriyet Halk Partisi,0,Neutral,482.0,0.0,1.3372320930227142,0.5021183806665926,0.0,0.5021183806665926,1.3372320930227142,0.0,0.27298678939988735,1.2085868664515482,0.0
Algan Hacaloğlu,Cumhuriyet Halk Partisi,0,Neutral,363.0,0.2620720234679472,0.0,1.2564267699170237,0.5383553573696269,1.518498793384971,0.5383553573696269,0.0,0.2617372539080534,1.1917449766971375,1.1475714727099864
Gültan Kışanak,Bağımsız,0,Neutral,646.0,0.5731426211220252,0.5125960447580589,2.2440716080548095,0.30252577060978114,2.8172142291768347,0.81512181536784,0.4721173339354536,0.22440704966371336,1.1663914066594718,0.4952868585076933
