date,open,high,low,close,adjclose,volume,symbol,series,forex_buying,forex_selling,source
2003-12-17,1.4285700000000001,1.432007,1.425133,1.4285700000000001,1.4285700000000001,,TCMB_USDTRY,usd_try,1.425133,1.432007,TCMB daily exchange-rate XML archive
2003-12-18,1.4252095,1.428638,1.421781,1.4252095,1.4252095,,TCMB_USDTRY,usd_try,1.421781,1.428638,TCMB daily exchange-rate XML archive
2003-12-19,1.4247895000000002,1.428217,1.421362,1.4247895000000002,1.4247895000000002,,TCMB_USDTRY,usd_try,1.421362,1.428217,TCMB daily exchange-rate XML archive
2003-12-22,1.429472,1.432911,1.426033,1.429472,1.429472,,TCMB_USDTRY,usd_try,1.426033,1.432911,TCMB daily exchange-rate XML archive
2003-12-23,1.427477,1.430911,1.424043,1.427477,1.427477,,TCMB_USDTRY,usd_try,1.424043,1.430911,TCMB daily exchange-rate XML archive
2003-12-24,1.424416,1.427843,1.420989,1.424416,1.424416,,TCMB_USDTRY,usd_try,1.420989,1.427843,TCMB daily exchange-rate XML archive
2003-12-25,1.4159395,1.419346,1.412533,1.4159395,1.4159395,,TCMB_USDTRY,usd_try,1.412533,1.419346,TCMB daily exchange-rate XML archive
2003-12-26,1.4109495,1.414344,1.407555,1.4109495,1.4109495,,TCMB_USDTRY,usd_try,1.407555,1.414344,TCMB daily exchange-rate XML archive
2003-12-29,1.4110725,1.414467,1.407678,1.4110725,1.4110725,,TCMB_USDTRY,usd_try,1.407678,1.414467,TCMB daily exchange-rate XML archive
2003-12-30,1.399201,1.402567,1.395835,1.399201,1.399201,,TCMB_USDTRY,usd_try,1.395835,1.402567,TCMB daily exchange-rate XML archive
2003-12-31,1.396638,1.399998,1.393278,1.396638,1.396638,,TCMB_USDTRY,usd_try,1.393278,1.399998,TCMB daily exchange-rate XML archive
2004-01-02,1.3926325,1.395983,1.389282,1.3926325,1.3926325,,TCMB_USDTRY,usd_try,1.389282,1.395983,TCMB daily exchange-rate XML archive
2004-01-05,1.374683,1.37799,1.371376,1.374683,1.374683,,TCMB_USDTRY,usd_try,1.371376,1.37799,TCMB daily exchange-rate XML archive
2004-01-06,1.366674,1.369962,1.363386,1.366674,1.366674,,TCMB_USDTRY,usd_try,1.363386,1.369962,TCMB daily exchange-rate XML archive
2004-01-07,1.3669525,1.370241,1.363664,1.3669525,1.3669525,,TCMB_USDTRY,usd_try,1.363664,1.370241,TCMB daily exchange-rate XML archive
2004-01-08,1.364604,1.367887,1.361321,1.364604,1.364604,,TCMB_USDTRY,usd_try,1.361321,1.367887,TCMB daily exchange-rate XML archive
2004-01-09,1.3582025,1.36147,1.354935,1.3582025,1.3582025,,TCMB_USDTRY,usd_try,1.354935,1.36147,TCMB daily exchange-rate XML archive
2004-01-12,1.3354840000000001,1.338697,1.332271,1.3354840000000001,1.3354840000000001,,TCMB_USDTRY,usd_try,1.332271,1.338697,TCMB daily exchange-rate XML archive
2004-01-13,1.3328755,1.336082,1.329669,1.3328755,1.3328755,,TCMB_USDTRY,usd_try,1.329669,1.336082,TCMB daily exchange-rate XML archive
2004-01-14,1.344327,1.347561,1.341093,1.344327,1.344327,,TCMB_USDTRY,usd_try,1.341093,1.347561,TCMB daily exchange-rate XML archive
2004-01-15,1.3394564999999998,1.342679,1.336234,1.3394564999999998,1.3394564999999998,,TCMB_USDTRY,usd_try,1.336234,1.342679,TCMB daily exchange-rate XML archive
2004-01-16,1.337251,1.340468,1.334034,1.337251,1.337251,,TCMB_USDTRY,usd_try,1.334034,1.340468,TCMB daily exchange-rate XML archive
2004-01-19,1.3524415,1.355695,1.349188,1.3524415,1.3524415,,TCMB_USDTRY,usd_try,1.349188,1.355695,TCMB daily exchange-rate XML archive
2004-01-20,1.3362155,1.33943,1.333001,1.3362155,1.3362155,,TCMB_USDTRY,usd_try,1.333001,1.33943,TCMB daily exchange-rate XML archive
2004-01-21,1.3294905,1.332689,1.326292,1.3294905,1.3294905,,TCMB_USDTRY,usd_try,1.326292,1.332689,TCMB daily exchange-rate XML archive
2004-01-22,1.3258225000000001,1.329012,1.322633,1.3258225000000001,1.3258225000000001,,TCMB_USDTRY,usd_try,1.322633,1.329012,TCMB daily exchange-rate XML archive
