concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,year
Reform,18.90429,0.41083415779713833,0.0,0.1624089732842626,democratic_reform,negative,2015
Vesayet,14.94572,0.37785350027048065,0.0,0.1428375818050765,constitutional_conflict,negative,2015
Enflasyon,7.49598,0.47316213823454667,0.16363636363636364,0.22524140152841185,macro_economy,negative,2015
Avrupa Birligi,2.0250000000000004,0.47898721799609606,0.0,0.31400899831589796,democratic_reform,negative,2015
Egemenlik,1.35,0.3383266133328733,0.0,0.09240399961249245,security_conflict,negative,2015
IMF,0.675,0.3472851100984784,0.0,0.15595613535776784,macro_economy,negative,2015
Guvenlik,3857.16165,0.5439437103394867,0.10909090909090909,0.2672824382037109,security_conflict,negative,2016
Hukuk Devleti,2406.849105,0.5377647315298334,0.16363636363636364,0.2760033646520287,democratic_reform,negative,2016
Ekonomi,1844.0243300000002,0.6018658234217024,0.14545454545454545,0.4067900266469966,macro_economy,negative,2016
Demokrasi,967.68422,0.36738270634642517,0.0,0.11772051717462081,democratic_reform,negative,2016
Anayasa,834.103545,0.5372303696866099,0.0,0.27503823221356555,constitutional_conflict,negative,2016
Vesayet,542.8431400000001,0.4795561009640352,0.0,0.1985342254229079,constitutional_conflict,negative,2016
Faiz,105.79731000000001,0.5086097813500812,0.01818181818181818,0.3128726477735971,macro_economy,negative,2016
Avrupa Birligi,101.62773,0.7264555005666968,0.36363636363636365,0.4839398622770967,democratic_reform,negative,2016
Reform,93.111175,0.5385717139653101,0.09090909090909091,0.35662036610013936,democratic_reform,negative,2016
Egemenlik,56.22697,0.5151087370271406,0.18181818181818182,0.21252160722923427,security_conflict,negative,2016
Enflasyon,48.026925000000006,0.42470520836594616,0.0,0.22737050498171013,macro_economy,negative,2016
IMF,25.837979999999998,0.33777618458591274,0.0,0.043083378742945794,macro_economy,negative,2016
Guvenlik,1668.731185,0.6247436565876568,0.3090909090909091,0.42489099020706944,security_conflict,negative,2017
Hukuk Devleti,1653.686195,0.4635818121301713,0.0,0.23732901070994689,democratic_reform,negative,2017
Ekonomi,1432.6358550000002,0.5892217587214813,0.18181818181818182,0.37529778108200923,macro_economy,negative,2017
Anayasa,958.6891599999999,0.5921604302619122,0.21818181818181817,0.41952646532870513,constitutional_conflict,negative,2017
Demokrasi,464.936855,0.45466527001922297,0.0,0.23118834076986847,democratic_reform,negative,2017
Vesayet,316.01421000000005,0.4919108743170056,0.0,0.31537027594162664,constitutional_conflict,negative,2017
Enflasyon,125.002825,0.5259656279807011,0.23636363636363636,0.22907629341463304,macro_economy,negative,2017
Faiz,120.62307,0.3602347139641749,0.0,0.08684544276726797,macro_economy,negative,2017
Reform,71.21505,0.42289340865782415,0.0,0.1577282987269247,democratic_reform,negative,2017
Avrupa Birligi,40.76315,0.4636141568675111,0.09090909090909091,0.2716210815815156,democratic_reform,negative,2017
Egemenlik,21.844269999999998,0.5219542419775294,0.07272727272727272,0.3437338036621431,security_conflict,negative,2017
IMF,5.87839,0.3518753227882935,0.0,0.12867794127867196,macro_economy,negative,2017
Guvenlik,640.6918549999999,0.2522655786574217,0.0,0.0021959595372488742,security_conflict,negative,2018
Hukuk Devleti,538.0047500000001,0.4825479196941464,0.0,0.36737430089723905,democratic_reform,negative,2018
Ekonomi,457.969355,0.5070656095931941,0.05454545454545454,0.40088409084118276,macro_economy,negative,2018
Demokrasi,177.20854,0.4780491220615313,0.0,0.3628961941867811,democratic_reform,negative,2018
Anayasa,174.723175,0.5365586374823089,0.14545454545454545,0.39235936539268895,constitutional_conflict,negative,2018
Vesayet,89.821075,0.32892879591533525,0.18181818181818182,0.011609640641245105,constitutional_conflict,negative,2018
Faiz,57.84361,0.661831478916458,0.4727272727272727,0.426134914521351,macro_economy,negative,2018
Enflasyon,40.240685,0.4360023360346729,0.0,0.2178208459662961,macro_economy,negative,2018
Reform,34.01598,0.5109736998397731,0.0,0.4020215426840458,democratic_reform,negative,2018
Egemenlik,17.79116,0.4542351909845596,0.18181818181818182,0.14898328269601438,security_conflict,negative,2018
Avrupa Birligi,4.92509,0.4613405129179235,0.32727272727272727,0.0698848378122623,democratic_reform,negative,2018
IMF,3.3499999999999996,0.32096991623991117,0.0,0.02847502796158314,macro_economy,negative,2018
