party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Milliyetçi Hareket Partisi,tutelage,Vesayet,constitutional_conflict,65,133,4,247,220.85,170.760615,-0.9642857142857143,negative
Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,62,245,6,104,283.5,159.44981,-0.8828828828828829,negative
Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,67,237,17,136,290.55,154.0827,-0.7727272727272727,negative
Bağımsız,constitution,Anayasa,constitutional_conflict,48,177,9,126,224.25,142.215575,-0.8602941176470589,negative
Halkların Demokratik Partisi,tutelage,Vesayet,constitutional_conflict,60,121,15,207,198.7,137.149525,-0.8609865470852018,negative
Bağımsız,democracy,Demokrasi,democratic_reform,69,234,19,123,283.7,136.84867,-0.7272727272727273,negative
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,47,152,6,96,187.7,115.78257,-0.8737864077669902,negative
Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,50,112,3,86,143.15,85.177595,-0.9222222222222223,negative
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,39,127,11,72,156.05,72.43765,-0.7261904761904762,negative
Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,38,97,5,56,118.35,62.22341,-0.8225806451612904,negative
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,45,85,6,73,112.65,59.61447,-0.8375,negative
Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,24,100,8,51,120.65,56.07493,-0.7166666666666667,negative
Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,26,69,4,56,90.0,55.6093,-0.8524590163934426,negative
Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,20,52,0,39,65.65,45.63959,-0.975,negative
Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,19,63,8,42,80.5,40.41288,-0.6666666666666666,negative
Bağımsız,tutelage,Vesayet,constitutional_conflict,10,30,4,60,52.400000000000006,40.279915,-0.8615384615384616,negative
Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,26,48,1,43,63.4,38.25582,-0.9333333333333333,negative
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,26,48,2,41,63.050000000000004,35.02153,-0.8863636363636364,negative
Halkların Demokratik Partisi,interest,Faiz,macro_economy,11,52,2,21,60.050000000000004,31.95712,-0.7916666666666666,negative
Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,20,44,6,42,60.800000000000004,31.06365,-0.7346938775510204,negative
Halkların Demokratik Partisi,imf,IMF,macro_economy,5,57,8,23,67.85000000000001,27.130630000000004,-0.46875,negative
Milliyetçi Hareket Partisi,sovereignty,Egemenlik,security_conflict,17,32,1,30,42.85,25.28518,-0.90625,negative
Milliyetçi Hareket Partisi,imf,IMF,macro_economy,8,37,1,13,41.9,24.934079999999998,-0.8,negative
Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,20,38,1,30,48.85,24.85455,-0.90625,negative
Cumhuriyet Halk Partisi,imf,IMF,macro_economy,10,33,0,16,38.6,24.10367,-0.9411764705882353,negative
Bağımsız,european_union,Avrupa Birligi,democratic_reform,10,26,3,22,34.75,17.38774,-0.7307692307692307,negative
Halkların Demokratik Partisi,european_union,Avrupa Birligi,democratic_reform,15,30,2,18,37.0,15.75839,-0.7619047619047619,negative
Halkların Demokratik Partisi,reform,Reform,democratic_reform,9,22,2,15,27.95,14.362680000000001,-0.7222222222222222,negative
Halkların Demokratik Partisi,inflation,Enflasyon,macro_economy,12,19,1,18,25.65,13.67517,-0.85,negative
Halkların Demokratik Partisi,sovereignty,Egemenlik,security_conflict,9,17,1,12,21.55,10.74598,-0.7857142857142857,negative
Bağımsız,interest,Faiz,macro_economy,7,15,0,8,17.8,9.51679,-0.8888888888888888,negative
Bağımsız,reform,Reform,democratic_reform,7,11,0,10,14.5,8.79589,-0.9090909090909091,negative
Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,9,11,0,10,14.5,7.533390000000001,-0.9090909090909091,negative
Bağımsız,sovereignty,Egemenlik,security_conflict,6,10,0,8,12.8,7.4125,-0.8888888888888888,negative
Bağımsız,inflation,Enflasyon,macro_economy,4,6,0,8,8.8,6.0033900000000004,-0.8888888888888888,negative
